1;Qatar;X;;;Ecuador;Juan
2;England;;X;;Iran;Juan
3;Senegal;;;X;Netherlands;Juan
4;USA;X;;;Wales;Juan
5;Argentina;X;;;Saudi Arabia;Juan
6;Denmark;;X;;Tunisia;Juan
7;Mexico;X;;;Poland;Juan
8;France;;X;;Australia;Juan
1;Qatar;;X;;Ecuador;Pedro
2;England;X;;;Iran;Pedro
3;Senegal;;X;;Netherlands;Pedro
4;USA;X;;;Wales;Pedro
5;Argentina;;;X;Saudi Arabia;Pedro
6;Denmark;X;;;Tunisia;Pedro
7;Mexico;;;X;Poland;Pedro
8;France;X;;;Australia;Pedro
1;Qatar;;;X;Ecuador;Leo
2;England;X;;;Iran;Leo
3;Senegal;;;X;Netherlands;Leo
4;USA;;X;;Wales;Leo
5;Argentina;;;X;Saudi Arabia;Leo
6;Denmark;;X;;Tunisia;Leo
7;Mexico;;X;;Poland;Leo
8;France;X;;;Australia;Leo
1;Qatar;;X;;Ecuador;Nahuel
2;England;;;X;Iran;Nahuel
3;Senegal;;X;;Netherlands;Nahuel
4;USA;;;X;Wales;Nahuel
5;Argentina;X;;;Saudi Arabia;Nahuel
6;Denmark;X;;;Tunisia;Nahuel
7;Mexico;;;X;Poland;Nahuel
8;France;;X;;Australia;Nahuel

